ID;Bytes;SHA256;ArchivePath
hash-16;529448;c0e907402bc79dd1b6f116bf09daaabdd5b8d1bc53eda68458929c636be06d8f;hash-16/LLH/Algorithm specifications/LLH_Specification_English.pdf
hash-17;906961;cc5b51b21af90a1331f83ebc03ac1a0452c60dd5f7e5661b84266beb7c9c21e9;hash-17/MasterCube/Algorithm specifications/MasterCube.pdf
hash-18;420100;91a649252cbb5d4d563dfa202ff00a5a270b9b9b2aa40b0a3f5ebb6abc78153a;hash-18/Megascon/Algorithm specifications/Megascon Hash function.pdf
hash-19;920026;3be6697d885dcb3ec93999c8dfae2c78a15abf6ac0bfe5e89b08de5eab6ff81c;hash-19/MoFang/Algorithm specifications/MoFang Hash function.pdf
hash-20;730488;1c611656c47a7d708dc47449c5fdf2aa4f524e53362b08242daedc57932dbb86;hash-20/Mozi/Algorithm specifications/MOZI hash function.pdf
hash-21;297621;7f26bdea076d5c2c06469a764118ef6c323ba7844df018810de67a88215610db;hash-21/Neulaser/Algorithm specifications/算法文档.pdf
hash-22;1800124;08c532b9241dd85ab4b5d5b8c4b020a5baf412738457431c895e17f0434abcb0;hash-22/Pavelor/Algorithm specifications/Pavelor.pdf
hash-23;678346;e439fab38326cceff893a17cc3f2fd2df78be9e2f603a737efec445de328e849;hash-23/QILIN/Algorithm specifications/算法文本QILIN.pdf
hash-24;576058;5e822a570ad6cc2f07a2c72d6bb9997e658ee01aa2e8264b9dcc0f2cc8dab6b1;hash-24/QSH/Algorithm specifications/QuantaSylva Hash.pdf
hash-25;878169;be46175008c1761d0ef5418339c60eb7c125da69ab5cdd4589c95ef890f8ceae;hash-25/TaiChi/Algorithm specifications/算法文本TaiChi.pdf
hash-26;1099086;b8358601c531d49ecc3a7843771b403d44504aad6a0aac07dc4e20eb397a2a5c;hash-26/CHIME/Algorithm specifications/算法文本.pdf
hash-27;1069438;d56d73291912a08ba506d969605a0c771851fa5472d77db859aef299e6bffda2;hash-27/Vedak/Algorithm specifications/算法文本(The Vedak Hash Function Family)_英文.pdf
hash-28;475342;c16b5cd2591cefcbefeb2ec6b822b9f6f65bb68f6b0ee250895dbf9a30bd0774;hash-28/XRH-1/Algorithm specifications/算法文本_XRH-1.pdf
hash-29;472827;a0c0687be9cc738eb7c7555971e10e7f1e34d07dbe62ceb84b49319f47f9c6a4;hash-29/XRH-2/Algorithm specifications/算法文本_XRH-2.pdf
hash-30;328968;7b6be177b88e734499bde19a1b152ac48c34b09c76375f04d1e0960ab920a069;hash-30/ZC-DM/Algorithm specifications/ZC-DM.pdf
hash-31;444038;4db2e5d0cbc7a37b4d50b8c4de7873a6bcf0d8a344972e1f121483964e1d8c68;hash-31/ZC-DMC/Algorithm specifications/ZC-DMC.pdf
hash-32;357105;fa729c66f685e527e8ccf47667f150e5e5858e5a4693368651346a081b58c6d0;hash-32/ZC-EDMC/Algorithm specifications/ZC-EDMC.pdf
hash-33;482961;f6fafe152124757787f54db3869bb7ef7d8106e8a7293ee341d511ec279e7d36;hash-33/Thunder/Algorithm specifications/Algorithm Specifications.pdf
hash-34;961209;646ca79b6295eb75bc476b01cb3e1670882394ed6a4ca48c1f791f3287b7b0e7;hash-34/WChain/Algorithm specifications/wchain hash function.pdf
hash-35;481819;a84b946a93f0fe772c1b08d29c90f894d928ea13cef9ee6ed1fd2fdee118dd2c;hash-35/Wish/Algorithm specifications/Wish_Specifications.pdf
