ID;Type;Algorithm;Instance;Variant;SourceDirectory;PublicKeyBytes;SecretKeyBytes;CiphertextBytes;SharedSecretBytes;SignatureBytes;Passes;InitiatorStateBytes;ResponderStateBytes;TotalMessageBytes;DigestBits;DigestBytes
kem-14;kem;DTRU;DTRU-1536-PACK_PK;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-1536;2259;3091;1920;64;;;;;;;
kem-14;kem;DTRU;DTRU-2048;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-2048;3072;3904;2560;64;;;;;;;
kem-14;kem;DTRU;DTRU-2048-PACK_PK;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-2048;3012;3844;2560;64;;;;;;;
kem-14;kem;DTRU;DTRU-648;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-648;972;1328;729;32;;;;;;;
kem-14;kem;DTRU;DTRU-648-PACK_PK;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-648;954;1310;729;32;;;;;;;
kem-14;kem;DTRU;DTRU-768;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-768;1152;1568;960;32;;;;;;;
kem-14;kem;DTRU;DTRU-768-PACK_PK;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-768;1130;1546;960;32;;;;;;;
kem-14;kem;DTRU;DTRU-Light;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-Light;640;864;512;32;;;;;;;
kem-14;kem;DTRU;DTRU-Prime;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-Prime;1495;1935;1359;32;;;;;;;
kem-15;kem;FLIT;FLIT128_REF;Reference_Implementation;Implementations/Reference_Implementation/FLIT128;615;1351;512;32;;;;;;;
kem-15;kem;FLIT;FLIT256_REF;Reference_Implementation;Implementations/Reference_Implementation/FLIT256;1229;2605;1024;32;;;;;;;
kem-15;kem;FLIT;FLIT512_REF;Reference_Implementation;Implementations/Reference_Implementation/FLIT512;3072;6336;2304;64;;;;;;;
kem-16;kem;HARE;HARE-128-kr;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/HARE-128/kr;2629;2677;4688;16;;;;;;;
kem-16;kem;HARE;HARE-256-kr;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/HARE-256/kr;6580;6676;11790;32;;;;;;;
kem-16;kem;HARE;HARE-384-kr;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/HARE-384/kr;13157;13301;23693;48;;;;;;;
kem-16;kem;HARE;HARE-512-kr;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/HARE-512/kr;21812;22004;39294;64;;;;;;;
kem-17;kem;HEP-QC;hep-qc-1;Reference_Implementation;Implementations/Implementations/ref/hep-qc-1;285889;285969;4433;32;;;;;;;
kem-17;kem;HEP-QC;hep-qc-3;Reference_Implementation;Implementations/Implementations/ref/hep-qc-3;866210;866298;8978;32;;;;;;;
kem-17;kem;HEP-QC;hep-qc-5;Reference_Implementation;Implementations/Implementations/ref/hep-qc-5;1852485;1852581;14421;32;;;;;;;
kem-17;kem;HEP-QC;hep-qc-7;Reference_Implementation;Implementations/Implementations/ref/hep-qc-7;12644449;12644577;49297;32;;;;;;;
kem-18;kem;LoongKEM;Loong128;Reference_Implementation;Implementations/Reference_Implementation/Loong128;1472;1848;1512;16;;;;;;;
kem-18;kem;LoongKEM;Loong256;Reference_Implementation;Implementations/Reference_Implementation/Loong256;3248;3888;3520;32;;;;;;;
kem-18;kem;LoongKEM;Loong384;Reference_Implementation;Implementations/Reference_Implementation/Loong384;6444;7340;6680;48;;;;;;;
kem-18;kem;LoongKEM;Loong512;Reference_Implementation;Implementations/Reference_Implementation/Loong512;10640;11832;10848;64;;;;;;;
kem-19;kem;Lore;Lore-L1;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/Lore-SHAKE/Lore-L1;610;2108;706;32;;;;;;;
kem-19;kem;Lore;Lore-L1;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/Lore-SM3/Lore-L1;610;2108;706;32;;;;;;;
kem-19;kem;Lore;Lore-L2;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/Lore-SHAKE/Lore-L2;1186;4518;1282;32;;;;;;;
kem-19;kem;Lore;Lore-L2;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/Lore-SM3/Lore-L2;1186;4518;1282;32;;;;;;;
kem-19;kem;Lore;Lore-L3;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/Lore-SHAKE/Lore-L3;1954;7736;2114;32;;;;;;;
kem-19;kem;Lore;Lore-L3;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/Lore-SM3/Lore-L3;1954;7736;2114;32;;;;;;;
kem-19;kem;Lore;Lore-L4;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/Lore-SHAKE/Lore-L4;2914;11432;3170;32;;;;;;;
kem-19;kem;Lore;Lore-L4;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/Lore-SM3/Lore-L4;2914;11432;3170;32;;;;;;;
kem-20;kem;MAMBA-Frost;MAMBA-Frost-128;Reference_Implementation;Implementations/Reference_Implementation/MAMBA-Frost-128;5152;6736;5192;16;;;;;;;
kem-20;kem;MAMBA-Frost;MAMBA-Frost-192;Reference_Implementation;Implementations/Reference_Implementation/MAMBA-Frost-192;9712;11528;9760;24;;;;;;;
kem-20;kem;MAMBA-Frost;MAMBA-Frost-256;Reference_Implementation;Implementations/Reference_Implementation/MAMBA-Frost-256;16776;19416;15552;32;;;;;;;
kem-20;kem;MAMBA-Frost;MAMBA-Frost-384;Reference_Implementation;Implementations/Reference_Implementation/MAMBA-Frost-384;25096;29032;37736;48;;;;;;;
kem-20;kem;MAMBA-Frost;MAMBA-Frost-512;Reference_Implementation;Implementations/Reference_Implementation/MAMBA-Frost-512;36432;41728;72944;64;;;;;;;
kem-20;kem;MAMBA-Frost;MAMBA-Frost-CC-128;Reference_Implementation;Implementations/Reference_Implementation/MAMBA-Frost-CC-128;5152;6736;5192;16;;;;;;;
kem-20;kem;MAMBA-Frost;MAMBA-Frost-CC-192;Reference_Implementation;Implementations/Reference_Implementation/MAMBA-Frost-CC-192;9712;11528;9760;24;;;;;;;
kem-20;kem;MAMBA-Frost;MAMBA-Frost-CC-256;Reference_Implementation;Implementations/Reference_Implementation/MAMBA-Frost-CC-256;16776;19416;15552;32;;;;;;;
kem-20;kem;MAMBA-Frost;MAMBA-Frost-CC-384;Reference_Implementation;Implementations/Reference_Implementation/MAMBA-Frost-CC-384;37628;43492;25204;48;;;;;;;
kem-20;kem;MAMBA-Frost;MAMBA-Frost-CC-512;Reference_Implementation;Implementations/Reference_Implementation/MAMBA-Frost-CC-512;72832;83328;36544;64;;;;;;;
